Estación: ,C19176,OJO DE AGUA. BUSTAMANTE
Variable: ,Temperatura del Aire (°C)
Longitud: ,100° 31' 04'',Latitud:,26° 32' 09

Fecha,Promedio,Máximo,Mínimo
1985-06-01,29,37,21
1985-06-02,30,38,22
1985-06-03,29,36,22
1985-06-04,28.25,34.5,22
1985-06-05,28.5,35,22
1985-06-06,27,33,21
1985-06-07,28.5,37,20
1985-06-08,29,38,20
1985-06-09,28.5,37,20
1985-06-10,29,37,21
1985-06-11,28.5,37,20
1985-06-12,27.5,35,20
1985-06-13,23.5,30,17
1985-06-14,26.25,34.5,18
1985-06-15,27,35,19
1985-06-16,28,36,20
1985-06-17,28,35,21
1985-06-18,28.25,34.5,22
1985-06-19,23,28,18
1985-06-20,24.5,30,19
1985-06-21,26.75,34.5,19
1985-06-22,27.5,34,21
1985-06-23,28.5,35,22
1985-06-24,27,33,21
1985-06-25,27.75,34.5,21
1985-06-26,27.75,34.5,21
1985-06-27,27.25,34.5,20
1985-06-28,22,27,17
1985-06-29,27,37,17
1985-06-30,20,28,12
